customer_id,customer_name,gender,age,city,booking_source,membership_type,membership_duration_months,loyalty_member,total_visits,days_since_last_visit,avg_visit_gap_days,preferred_service,num_services_used,has_preferred_employee,employee_change_count,avg_spend_per_visit,last_visit_spend,total_spend,products_purchased,product_spend,feedback_given,feedback_comment,avg_rating,num_complaints,offers_redeemed,last_offer_used,appointments_cancelled,appointments_no_show,avg_advance_booking_days,sms_sent,sms_responses,sms_response_rate,referrals_made,visit_time_preference,churn_risk_category,churn
CUST00001,Deepa Kale,Female,31,Nagpur,AI_Calling,Gold,17,1,53,28,35,Pedicure,2,1,1,2098.42,1376.64,127585.98,6,1805.56,1,Results were disappointing,3.3,1,3,Discount_20,5,3,28,13,0,0,3,Afternoon,Medium,0
CUST00002,Alka Ghuge,Female,41,Nagpur,Walk_In,Bronze,36,1,16,211,21,Hair_Color,7,0,2,660.62,812.1,9281.28,8,202.04,1,Long waiting time,1.8,0,5,Discount_20,3,4,15,3,1,0.33,1,Afternoon,Medium,1
CUST00003,Akash Suryawanshi,Male,35,Nagpur,AI_Calling,Bronze,27,1,3,140,70,Massage,7,0,1,495.59,429.13,1551.37,4,1543.48,0,No Feedback,,0,0,Birthday_Special,2,4,13,6,0,0,1,Weekend,High,1
CUST00004,Rupali Thakare,Female,24,Mumbai,AI_Calling,Gold,10,1,30,51,25,Threading,7,0,0,1292.11,895.61,35682.13,1,359.16,1,Great service,4.5,0,5,Festive_Offer,2,3,5,6,6,1,3,Afternoon,Low,0
CUST00005,Alka Bhosale,Female,42,Mumbai,AI_Calling,Gold,22,1,26,59,31,Waxing,7,1,2,2022.54,3239.91,48683.61,6,964.85,0,No Feedback,,2,5,Birthday_Special,1,1,29,3,2,0.67,3,Weekend,Low,0
CUST00006,Sarita Gaikwad,Female,38,Nagpur,Online,Silver,16,1,7,63,36,Pedicure,5,1,6,567.47,963.88,4495.65,1,2206.31,1,Decent but pricey,3.2,0,5,Festive_Offer,4,0,17,7,3,0.43,3,Afternoon,Low,0
CUST00007,Minal Bandgar,Female,50,Nashik,Walk_In,Gold,29,1,27,299,57,Waxing,7,1,1,995.28,1439.52,27973.96,5,10.78,1,Room for improvement,2.3,0,2,Festive_Offer,4,1,29,13,2,0.15,5,Evening,Medium,1
CUST00008,Ankita Thorat,Female,28,Solapur,Online,Bronze,33,1,28,253,42,Keratin,4,0,4,762.41,1297.64,19125.97,4,2374.76,1,Staff was careless,2.1,4,7,Discount_20,2,4,26,15,4,0.27,2,Weekend,High,1
CUST00009,Tara Kale,Female,43,Aurangabad,AI_Calling,Bronze,7,1,46,21,69,Facial,2,0,0,700.91,509.31,33343.37,6,749.3,1,Rude staff,1.7,4,6,Free_Service,4,1,25,4,0,0,1,Evening,Medium,1
CUST00010,Santosh Deshpande,Male,45,Mumbai,Online,Silver,14,1,14,8,60,Facial,8,1,1,671.62,590.62,9527.97,7,1431.99,0,No Feedback,,1,3,Free_Service,7,1,3,11,2,0.18,4,Morning,Medium,1
CUST00011,Kiran Ingale,Female,27,Nagpur,Online,Silver,1,1,32,117,59,Threading,6,1,2,936.17,849.62,34409.4,2,340.38,1,Overpriced,2.5,2,3,Loyalty_Points,6,0,2,8,1,0.12,2,Afternoon,Medium,1
CUST00012,Deepa Jadhav,Female,21,Mumbai,Walk_In,Gold,5,1,29,51,51,Keratin,4,0,5,1514.5,1697.71,41703,5,1631.5,0,No Feedback,,2,2,Discount_20,1,0,24,5,0,0,4,Morning,Low,0
CUST00013,Rupali Thorat,Female,42,Kolhapur,AI_Calling,Gold,11,1,40,11,42,Manicure,1,1,6,1604.54,1349.08,70886.64,6,469.98,1,Excellent experience,5,0,0,Discount_20,1,1,16,13,7,0.54,3,Morning,Low,0
CUST00014,Renu Thorat,Female,33,Solapur,Referral,Bronze,11,1,20,93,79,Haircut,6,1,2,749.89,809.4,15528.31,0,0,0,No Feedback,,1,0,Combo_Deal,0,2,6,5,1,0.2,4,Evening,Medium,1
CUST00015,Simran Salvi,Female,22,Nagpur,Online,Gold,21,1,47,6,43,Hair_Color,7,1,4,1193.94,2100.48,58768.57,3,1369.94,0,No Feedback,,1,6,Loyalty_Points,0,2,24,9,1,0.11,5,Afternoon,Low,0
CUST00016,Pallavi Chavhan,Female,23,Pune,Referral,Bronze,1,1,26,184,64,Threading,1,0,1,496.43,673.62,11112.71,2,1573.15,1,Average service,2.5,0,6,Discount_20,4,1,19,15,5,0.33,0,Morning,Medium,0
CUST00017,Sonal Deshpande,Female,39,Nagpur,Social_Media,Bronze,33,1,23,30,55,Blowout,4,1,1,720.22,1043.41,17200.46,1,1090.84,0,No Feedback,,0,3,Discount_20,2,1,16,14,8,0.57,5,Evening,Low,0
CUST00018,Usha Bhosale,Female,43,Pune,Walk_In,Gold,27,1,42,106,41,Pedicure,2,0,2,1500.29,1196.29,54817.57,5,1917.8,1,Very bad experience,3.5,0,0,Discount_10,3,0,26,13,3,0.23,3,Morning,Medium,1
CUST00019,Minal Pawar,Female,41,Nagpur,Walk_In,Bronze,24,1,14,96,33,Massage,3,1,3,532.55,599.97,6897.62,2,1741.49,1,Felt ignored,2.6,0,5,Discount_20,3,3,2,3,2,0.67,1,Morning,Medium,0
CUST00020,Santosh Kulkarni,Male,28,Mumbai,Referral,Bronze,12,1,5,150,62,Waxing,4,1,4,406.94,457.26,2013.57,4,1901.35,1,Nothing special,2,0,6,Discount_10,0,3,4,13,5,0.38,5,Evening,Medium,1
