customer_id,customer_name,gender,age,city,booking_source,membership_type,membership_duration_months,loyalty_member,total_visits,days_since_last_visit,avg_visit_gap_days,preferred_service,num_services_used,has_preferred_employee,employee_change_count,avg_spend_per_visit,last_visit_spend,total_spend,products_purchased,product_spend,feedback_given,feedback_comment,avg_rating,num_complaints,offers_redeemed,last_offer_used,appointments_cancelled,appointments_no_show,avg_advance_booking_days,sms_sent,sms_responses,sms_response_rate,referrals_made,visit_time_preference,churn_risk_category,churn
CUST00001,Deepa Kale,Female,31,Nagpur,AI_Calling,Gold,17,1,45,43,35,Pedicure,2,1,1,2098.42,1376.64,127585.98,6,1805.56,1,Results were disappointing,4.244617849682132,1,3,Discount_20,5,3,28,13,0,0.0,3,Afternoon,Medium,0
CUST00002,Alka Ghuge,Female,41,Nagpur,Walk_In,Bronze,36,1,14,173,21,Hair_Color,7,0,2,660.62,812.1,9281.28,8,202.04,1,Long waiting time,2.2799197072188573,0,5,Discount_20,3,4,15,3,1,0.33,1,Afternoon,Medium,1
CUST00003,Akash Suryawanshi,Male,35,Nagpur,AI_Calling,Bronze,27,1,11,130,70,Massage,7,0,1,495.59,429.13,1551.37,4,1543.48,0,No Feedback,2.2234322926803154,0,0,Birthday_Special,2,4,13,6,0,0.0,1,Weekend,High,1
CUST00004,Rupali Thakare,Female,24,Mumbai,AI_Calling,Gold,10,1,26,52,25,Threading,7,0,0,1292.11,895.61,35682.13,1,359.16,1,Great service,4.142874849561899,0,5,Festive_Offer,2,3,5,6,6,1.0,3,Afternoon,Low,0
CUST00005,Alka Bhosale,Female,42,Mumbai,AI_Calling,Gold,22,1,47,54,31,Waxing,7,1,2,2022.54,3239.91,48683.61,6,964.85,0,No Feedback,4.552170271307141,2,5,Birthday_Special,1,1,29,3,2,0.67,3,Weekend,Low,0
CUST00006,Sarita Gaikwad,Female,38,Nagpur,Online,Silver,16,1,46,34,36,Pedicure,5,1,6,567.47,963.88,4495.65,1,2206.31,1,Decent but pricey,4.237708098025647,0,5,Festive_Offer,4,0,17,7,3,0.43,3,Afternoon,Low,0
CUST00007,Minal Bandgar,Female,50,Nashik,Walk_In,Gold,29,1,2,88,57,Waxing,7,1,1,995.28,1439.52,27973.96,5,10.78,1,Room for improvement,2.7493577905515316,0,2,Festive_Offer,4,1,29,13,2,0.15,5,Evening,Medium,1
CUST00008,Ankita Thorat,Female,28,Solapur,Online,Bronze,33,1,8,284,42,Keratin,4,0,4,762.41,1297.64,19125.97,4,2374.76,1,Staff was careless,1.8365303569870806,4,7,Discount_20,2,4,26,15,4,0.27,2,Weekend,High,1
CUST00009,Tara Kale,Female,43,Aurangabad,AI_Calling,Bronze,7,1,5,89,69,Facial,2,0,0,700.91,509.31,33343.37,6,749.3,1,Rude staff,1.5026337743377165,4,6,Free_Service,4,1,25,4,0,0.0,1,Evening,Medium,1
CUST00010,Santosh Deshpande,Male,45,Mumbai,Online,Silver,14,1,12,98,60,Facial,8,1,1,671.62,590.62,9527.97,7,1431.99,0,No Feedback,1.5163734654523164,1,3,Free_Service,7,1,3,11,2,0.18,4,Morning,Medium,1
CUST00011,Kiran Ingale,Female,27,Nagpur,Online,Silver,1,1,11,331,59,Threading,6,1,2,936.17,849.62,34409.4,2,340.38,1,Overpriced,2.4679825647452844,2,3,Loyalty_Points,6,0,2,8,1,0.12,2,Afternoon,Medium,1
CUST00012,Deepa Jadhav,Female,21,Mumbai,Walk_In,Gold,5,1,34,45,51,Keratin,4,0,5,1514.5,1697.71,41703.0,5,1631.5,0,No Feedback,4.94925860430748,2,2,Discount_20,1,0,24,5,0,0.0,4,Morning,Low,0
CUST00013,Rupali Thorat,Female,42,Kolhapur,AI_Calling,Gold,11,1,49,25,42,Manicure,1,1,6,1604.54,1349.08,70886.64,6,469.98,1,Excellent experience,4.838098384337609,0,0,Discount_20,1,1,16,13,7,0.54,3,Morning,Low,0
CUST00014,Renu Thorat,Female,33,Solapur,Referral,Bronze,11,1,14,135,79,Haircut,6,1,2,749.89,809.4,15528.31,0,0.0,0,No Feedback,2.2238555964372915,1,0,Combo_Deal,0,2,6,5,1,0.2,4,Evening,Medium,1
CUST00015,Simran Salvi,Female,22,Nagpur,Online,Gold,21,1,33,16,43,Hair_Color,7,1,4,1193.94,2100.48,58768.57,3,1369.94,0,No Feedback,4.424566148446936,1,6,Loyalty_Points,0,2,24,9,1,0.11,5,Afternoon,Low,0
CUST00016,Pallavi Chavhan,Female,23,Pune,Referral,Bronze,1,1,31,52,64,Threading,1,0,1,496.43,673.62,11112.71,2,1573.15,1,Average service,4.188753676773313,0,6,Discount_20,4,1,19,15,5,0.33,0,Morning,Medium,0
CUST00017,Sonal Deshpande,Female,39,Nagpur,Social_Media,Bronze,33,1,14,56,55,Blowout,4,1,1,720.22,1043.41,17200.46,1,1090.84,0,No Feedback,3.6879488328038565,0,3,Discount_20,2,1,16,14,8,0.57,5,Evening,Low,0
CUST00018,Usha Bhosale,Female,43,Pune,Walk_In,Gold,27,1,4,202,41,Pedicure,2,0,2,1500.29,1196.29,54817.57,5,1917.8,1,Very bad experience,2.657649051854575,0,0,Discount_10,3,0,26,13,3,0.23,3,Morning,Medium,1
CUST00019,Minal Pawar,Female,41,Nagpur,Walk_In,Bronze,24,1,34,54,33,Massage,3,1,3,532.55,599.97,6897.62,2,1741.49,1,Felt ignored,4.763360762626062,0,5,Discount_20,3,3,2,3,2,0.67,1,Morning,Medium,0
CUST00020,Santosh Kulkarni,Male,28,Mumbai,Referral,Bronze,12,1,4,348,62,Waxing,4,1,4,406.94,457.26,2013.57,4,1901.35,1,Nothing special,2.751743837538949,0,6,Discount_10,0,3,4,13,5,0.38,5,Evening,Medium,1
CUST00021,Kiran Pawar,Female,40,Pune,Walk_In,Bronze,34,1,4,149,36,Waxing,2,0,1,857.91,1258.0,7231.12,4,815.16,1,Service was average,1.391132988484494,0,3,Free_Service,4,4,20,6,2,0.33,5,Weekend,Medium,1
CUST00022,Vaishali Jadhav,Female,31,Aurangabad,Walk_In,Gold,29,1,5,253,14,Pedicure,6,0,4,2565.86,4579.8,62077.68,8,2306.48,1,Results were disappointing,1.047426918521235,2,1,Loyalty_Points,4,3,25,6,1,0.17,2,Weekend,Medium,1
CUST00023,Priya Dongre,Female,38,Mumbai,Online,Platinum,13,1,40,46,21,Pedicure,1,0,0,3175.5,3369.48,136092.57,5,545.17,1,Expected more,4.694991532923273,1,2,Festive_Offer,1,0,14,7,1,0.14,1,Evening,Low,0
CUST00024,Tara Deshpande,Female,34,Pune,AI_Calling,Silver,34,1,11,62,7,Facial,5,0,6,768.62,1300.83,13048.35,4,1819.03,0,No Feedback,2.8319674563530928,0,2,Combo_Deal,1,2,16,9,2,0.22,4,Weekend,Medium,1
CUST00025,Manisha Bandgar,Female,37,Mumbai,Walk_In,Gold,30,1,34,42,38,Facial,3,0,2,1516.33,1466.7,56070.9,8,321.88,1,Service was average,3.99681187808471,0,3,Loyalty_Points,5,4,17,4,3,0.75,3,Afternoon,Low,0
CUST00026,Seema Landge,Female,33,Nagpur,Walk_In,Silver,7,1,18,33,12,Massage,1,0,6,1269.89,1697.99,21570.83,1,1941.71,0,No Feedback,3.979313591217629,0,4,Discount_20,1,1,24,7,3,0.43,4,Afternoon,Low,0
CUST00027,Nisha Gaikwad,Female,28,Pune,Walk_In,Silver,17,1,19,40,25,Haircut,6,0,2,952.01,629.46,33243.25,2,107.54,1,Nothing special,4.001509748062402,0,6,Birthday_Special,3,1,26,15,2,0.13,3,Afternoon,Medium,0
CUST00028,Usha Gaikwad,Female,28,Nagpur,Online,Silver,9,1,9,206,37,Pedicure,1,0,4,546.18,597.03,17844.43,5,2387.59,0,No Feedback,2.083682123337923,1,1,Birthday_Special,5,1,18,8,3,0.38,4,Evening,Low,1
CUST00029,Hema Deshmukh,Female,45,Nagpur,Online,Silver,28,1,2,80,53,Keratin,7,1,4,1106.52,1415.85,31430.42,6,647.41,1,Long waiting time,2.71618856096292,2,1,Discount_10,5,1,3,7,2,0.29,2,Weekend,Medium,1
CUST00030,Komal Mohite,Female,44,Pune,Referral,Bronze,9,1,6,176,52,Facial,1,1,1,464.97,692.19,5373.6,3,1028.26,1,Long waiting time,1.1856605640617486,1,6,Discount_10,4,2,14,14,5,0.36,2,Morning,Medium,1
CUST00031,Manisha Kulkarni,Female,40,Aurangabad,Social_Media,Bronze,5,1,43,13,34,Manicure,3,1,6,523.79,560.45,7258.27,8,2442.9,0,No Feedback,3.5717397863765123,0,7,Free_Service,3,0,15,6,0,0.0,5,Morning,High,0
CUST00032,Hema Deshpande,Female,30,Nagpur,AI_Calling,Platinum,36,1,25,43,39,Haircut,5,0,6,3308.51,2282.22,58173.5,0,0.0,0,No Feedback,4.4885514257359755,0,5,Festive_Offer,0,1,19,9,9,1.0,3,Afternoon,Low,0
CUST00033,Amit Landge,Male,27,Pune,Referral,Silver,13,1,38,34,31,Pedicure,5,0,4,1124.56,1300.74,33734.07,4,1196.52,1,Average service,4.662439418827525,0,7,Discount_10,6,2,20,7,3,0.43,4,Afternoon,Low,0
CUST00034,Alka Nikam,Female,34,Akola,Referral,Bronze,15,1,2,158,55,Facial,5,1,3,873.0,969.69,21760.46,5,1002.74,1,Unprofessional behavior,2.0363082002560144,2,7,Free_Service,5,1,1,5,1,0.2,2,Weekend,Medium,1
CUST00035,Meera Thakare,Female,51,Nashik,Walk_In,Gold,10,1,25,58,37,Haircut,4,0,6,1175.52,2096.6,23822.59,6,2463.44,1,Felt ignored,4.229933017564513,1,1,Discount_10,5,2,7,14,4,0.29,1,Afternoon,Medium,0
CUST00036,Ankita Kulkarni,Female,43,Pune,AI_Calling,Gold,6,1,22,63,41,Haircut,7,0,5,1568.72,1983.29,46138.29,4,1094.27,1,Okay experience,4.537874129483298,0,6,Combo_Deal,2,4,21,9,5,0.56,2,Afternoon,Low,0
CUST00037,Kavita Naik,Female,21,Latur,Walk_In,Silver,34,1,30,62,50,Haircut,5,1,4,653.07,832.86,16319.85,7,1947.51,1,Service was average,4.120318193810542,0,7,Discount_10,7,1,4,8,5,0.62,3,Weekend,Low,0
CUST00038,Kavita Nikam,Female,38,Kolhapur,Social_Media,Silver,35,1,12,165,54,Hair_Color,2,0,4,1307.11,1842.42,49076.02,3,334.59,0,No Feedback,1.9810534854065787,0,0,Discount_10,4,0,12,14,5,0.36,1,Morning,Low,1
CUST00039,Anil Rane,Male,22,Aurangabad,AI_Calling,Silver,23,1,19,8,20,Manicure,6,1,1,443.86,583.51,6272.51,4,43.48,1,Satisfactory visit,3.8058147788022816,0,6,Festive_Offer,2,4,2,6,5,0.83,2,Evening,Low,0
CUST00040,Kiran Naik,Female,40,Nashik,AI_Calling,Bronze,35,1,8,87,59,Threading,2,1,0,450.56,324.51,9899.79,0,0.0,1,Results were disappointing,2.8303146613492967,3,5,Combo_Deal,5,0,6,8,3,0.38,4,Evening,Medium,1
CUST00041,Manoj Kadam,Male,27,Nagpur,Referral,Gold,35,1,7,176,16,Massage,2,1,0,2151.29,3436.26,71370.53,1,1702.13,1,Wasted my money,1.4467918414845944,0,0,Festive_Offer,6,2,8,6,0,0.0,1,Evening,High,1
CUST00042,Sonal Sawant,Female,37,Nagpur,Walk_In,Gold,12,1,36,45,24,Blowout,1,0,1,2130.0,2455.6,51972.69,0,0.0,1,Nothing special,3.9338110243771336,0,2,Combo_Deal,5,3,5,3,1,0.33,5,Evening,Low,0
CUST00043,Pallavi Pawar,Female,23,Mumbai,AI_Calling,Gold,36,1,14,256,9,Blowout,1,0,2,1084.59,1912.17,41337.12,7,961.17,1,Excellent experience,1.63916816935902,0,7,Combo_Deal,3,1,30,9,4,0.44,3,Afternoon,Low,1
CUST00044,Simran Thakare,Female,29,Nagpur,Walk_In,Silver,14,1,37,63,78,Massage,1,0,0,722.15,446.74,15052.53,3,680.13,0,No Feedback,4.966756237968799,2,0,Discount_20,0,0,3,5,2,0.4,0,Morning,Low,0
CUST00045,Divya Landge,Female,44,Solapur,Walk_In,Silver,29,1,29,60,23,Pedicure,1,1,1,902.39,1622.4,36837.12,7,489.85,1,Fantastic ambiance,4.4806527075199005,0,4,Birthday_Special,1,2,6,14,7,0.5,2,Morning,Low,0
CUST00046,Aarti Ingale,Female,36,Nashik,Online,Bronze,36,1,17,48,50,Pedicure,4,0,0,709.72,840.09,7725.61,2,1201.2,0,No Feedback,4.62389738164811,0,6,Festive_Offer,2,1,5,5,2,0.4,0,Evening,Low,0
CUST00047,Leela Mohite,Female,32,Mumbai,Online,Silver,30,1,2,338,15,Threading,5,1,4,1173.32,1496.25,16814.15,7,324.77,1,Rude staff,2.8118988895309327,1,7,Festive_Offer,7,4,12,15,5,0.33,1,Morning,Medium,1
CUST00048,Sunita Kale,Female,25,Pune,Referral,Bronze,27,1,26,21,76,Facial,1,1,3,300.0,341.64,2383.82,2,1677.7,1,Could be better,4.736509773838201,2,4,Combo_Deal,0,0,20,6,0,0.0,1,Afternoon,Medium,0
CUST00049,Nikhil Sawant,Male,38,Pune,AI_Calling,Gold,18,1,10,33,24,Waxing,2,1,5,1609.42,2028.71,66730.46,2,1189.45,0,No Feedback,3.8431008091954495,1,4,Festive_Offer,7,1,7,12,5,0.42,0,Weekend,Low,0
CUST00050,Vaishali Ghuge,Female,18,Nagpur,Walk_In,Gold,9,1,8,124,40,Pedicure,3,1,1,1197.39,1270.43,38378.56,2,2069.07,1,Okay experience,1.7398332545021669,1,6,Combo_Deal,1,3,4,12,4,0.33,5,Weekend,Medium,1
CUST00051,Pravin Bhosale,Male,35,Mumbai,Referral,Gold,16,1,42,47,36,Manicure,6,0,5,1558.98,2182.38,55672.0,0,0.0,1,Average service,4.533535640504869,1,4,Loyalty_Points,1,1,24,6,1,0.17,1,Afternoon,Low,0
CUST00052,Minal Joshi,Female,32,Kolhapur,Social_Media,Gold,12,1,29,18,15,Waxing,2,0,3,1207.25,1697.22,30047.33,2,1332.16,1,Service was average,4.186265563258279,1,4,Festive_Offer,2,1,19,9,2,0.22,0,Morning,Low,0
CUST00053,Madhuri Mohite,Female,43,Nagpur,Walk_In,Silver,31,1,20,24,27,Waxing,6,1,4,1073.36,1905.2,31692.86,5,1830.82,1,Worth every penny,4.406019220995216,0,7,Combo_Deal,3,1,14,10,5,0.5,2,Weekend,Low,0
CUST00054,Archana Suryawanshi,Female,20,Mumbai,Walk_In,Platinum,35,1,35,9,20,Hair_Color,4,0,3,2451.94,3308.59,118807.83,6,1199.7,1,Service was average,4.100206116454652,0,6,Discount_20,1,1,18,13,2,0.15,1,Afternoon,Low,0
CUST00055,Varsha Chavhan,Female,18,Mumbai,Referral,Silver,26,1,29,46,36,Blowout,1,1,4,518.97,861.24,18775.98,5,487.36,1,Average service,4.727792505705564,0,5,Loyalty_Points,3,3,10,10,6,0.6,3,Afternoon,Low,0
CUST00056,Kunal Rane,Male,18,Nagpur,Social_Media,Gold,33,1,28,27,26,Facial,8,0,6,2287.65,3342.39,85841.7,0,0.0,1,Room for improvement,4.149722906437747,0,6,Combo_Deal,2,2,30,13,3,0.23,0,Afternoon,Low,0
CUST00057,Sarita Kadam,Female,44,Nagpur,Online,Bronze,34,1,30,63,53,Blowout,4,0,5,567.95,715.77,11341.41,7,825.56,1,Long waiting time,3.79360541131651,0,2,Discount_10,1,3,23,12,2,0.17,4,Afternoon,Medium,0
CUST00058,Vikas Chavhan,Male,27,Nagpur,Walk_In,Silver,13,1,20,41,24,Pedicure,8,1,0,645.0,740.83,8305.78,8,1249.09,1,Okay experience,4.62431263402331,1,2,Combo_Deal,0,2,8,13,3,0.23,0,Morning,Low,0
CUST00059,Archana Deshpande,Female,31,Kolhapur,Referral,Silver,24,1,12,45,40,Waxing,2,1,4,851.71,896.19,18528.69,2,1542.27,1,Very satisfied,4.979561192947077,0,6,Discount_10,1,0,18,8,6,0.75,2,Evening,Low,0
CUST00060,Riya Gaikwad,Female,44,Nagpur,AI_Calling,Platinum,34,1,27,4,16,Massage,5,0,6,2543.01,3984.73,96636.23,7,557.26,0,No Feedback,3.851822270023958,1,4,Festive_Offer,5,0,11,11,3,0.27,3,Morning,Low,0
CUST00061,Sonali Thakare,Female,18,Nagpur,Online,Silver,18,1,25,62,24,Haircut,2,0,1,1368.74,2286.64,34255.8,0,0.0,1,Will not return,4.366187648921543,0,3,Loyalty_Points,3,2,17,10,1,0.1,5,Weekend,Medium,0
CUST00062,Manisha Bandgar,Female,27,Kolhapur,Referral,Bronze,4,1,24,28,29,Manicure,7,1,1,796.74,1174.83,19306.47,4,760.81,1,Nothing special,3.9549786921144205,0,5,Festive_Offer,2,4,2,4,2,0.5,4,Evening,Low,0
CUST00063,Rekha More,Female,27,Nagpur,AI_Calling,Gold,21,1,29,21,34,Hair_Color,7,1,2,1871.32,3113.12,38433.95,5,481.56,1,Average service,3.676993864702651,0,4,Birthday_Special,6,1,24,12,3,0.25,1,Morning,Low,0
CUST00064,Renu Suryawanshi,Female,42,Nashik,Social_Media,Gold,12,1,17,2,26,Waxing,2,0,2,1937.72,2460.6,94587.86,7,2216.52,1,Room for improvement,3.8627914310767797,0,4,Free_Service,4,3,7,10,5,0.5,3,Evening,Low,0
CUST00065,Sonali Thakare,Female,33,Nashik,AI_Calling,Silver,36,1,48,29,66,Pedicure,5,1,4,1218.16,1113.62,38866.07,4,751.31,1,Fantastic ambiance,4.215445273928873,0,1,Combo_Deal,3,2,6,7,3,0.43,0,Evening,Low,0
CUST00066,Neha Kadam,Female,24,Nagpur,AI_Calling,Silver,30,1,10,215,49,Waxing,1,0,4,1250.27,1456.52,51539.81,7,1459.23,1,Long waiting time,2.7232091337782878,1,5,Free_Service,3,0,4,3,0,0.0,4,Afternoon,Medium,1
CUST00067,Sonal Mane,Female,19,Kolhapur,AI_Calling,Bronze,12,1,31,17,63,Waxing,4,0,1,636.06,430.18,6469.25,8,1331.49,1,Very bad experience,3.7400767137831465,3,2,Festive_Offer,3,2,5,7,2,0.29,0,Evening,High,0
CUST00068,Hema Gaikwad,Female,27,Pune,Referral,Platinum,13,1,28,21,32,Manicure,5,1,2,3113.77,3320.03,118134.02,8,216.2,1,Very satisfied,3.5024826153773017,0,7,Festive_Offer,1,2,20,3,2,0.67,4,Morning,Low,0
CUST00069,Sachin Salvi,Male,29,Nagpur,AI_Calling,Silver,21,1,45,31,30,Haircut,7,0,4,923.65,1596.69,18549.01,7,651.67,0,No Feedback,4.101265153321597,2,2,Festive_Offer,2,3,28,7,6,0.86,3,Weekend,Low,0
CUST00070,Rutuja Bhosale,Female,45,Mumbai,AI_Calling,Silver,20,1,17,55,65,Threading,6,1,0,1121.16,1736.26,35104.39,8,1581.56,0,No Feedback,3.82470798965818,0,2,Birthday_Special,1,3,15,6,1,0.17,0,Weekend,Medium,0
